ID,district,state,name,party,clinton,trump,2016_Rmargin,House_Rmargin,obama,romney,2012_Rmargin,swing12,blacks,manufacturing,med_income,public_ins,bachelors,medincdiff,medincdiff_k,medinc_10k,foreign_p
206,MI-08,MI,"Bishop, Mike",(R),43.9,50.6,6.7,16.8,48,51.1,3.1,1,0.056695567,0.164444203,66495,0.289583085,0.406,9979,9.979,6.6495,8.379336465
207,MI-09,MI,"Levin, Sander",(D),51.5,43.7,-7.8,-20.5,57.2,41.9,-15.3,0,0.141797772,0.190402686,56582,0.366614623,0.303,66,0.066,5.6582,11.47596084
208,MI-10,MI,"Mitchell, Paul",(R),31.6,63.8,32.2,30.8,43.7,55.3,11.6,0,0.024580233,0.222885382,60934,0.348827848,0.23,4418,4.418,6.0934,5.797409632
209,MI-11,MI,"Trott, Dave",(R),45.3,49.7,4.4,12.7,46.9,52.3,5.4,0,0.050348715,0.200726206,79805,0.255078088,0.466,23289,23.289,7.9805,13.58978558
210,MI-12,MI,"Dingell, Debbie",(D),60.8,34.5,-26.3,-35,66.2,32.8,-33.4,0,0.108908419,0.160954709,55506,0.353359182,0.34,-1010,-1.01,5.5506,11.9457454
211,MI-13,MI,Conyers,(D),78.8,18.1,-60.7,-61.4,85.2,14.3,-70.9,0,0.549201605,0.155606574,33995,0.545686426,0.147,-22521,-22.521,3.3995,7.464803921
212,MI-14,MI,"Lawrence, Brenda",(D),79.2,18.3,-60.9,-59.8,81,18.6,-62.4,0,0.561297948,0.160376335,42695,0.483590143,0.308,-13821,-13.821,4.2695,9.601726948
213,MN-01,MN,"Walz, Tim",(D),38.4,53.3,14.9,-0.8,49.6,48.2,-1.4,1,0.030438048,0.158734261,60424,0.33595297,0.28,3908,3.908,6.0424,6.040317364
214,MN-02,MN,"Lewis, Jason",(R),45.3,46.5,1.2,1.8,49.1,49,-0.1,1,0.045065861,0.120357901,80128,0.258451337,0.385,23612,23.612,8.0128,8.22104235
215,MN-03,MN,"Paulsen, Erik",(R),50.8,41.4,-9.4,13.8,49.6,48.8,-0.8,1,0.082496838,0.137924362,84689,0.26636239,0.49,28173,28.173,8.4689,12.31641936
216,MN-04,MN,"McCollum, Betty",(D),61.5,30.6,-30.9,-23.4,62.5,35.5,-27,0,0.097611377,0.13046149,66175,0.35515899,0.422,9659,9.659,6.6175,14.27775926
217,MN-05,MN,"Ellison, Keith",(D),73.7,18.5,-55.2,-46.9,73.5,24,-49.5,0,0.166353614,0.107365257,59115,0.34538219,0.445,2599,2.599,5.9115,14.89827449
218,MN-06,MN,"Emmer, Tom",(R),33.2,58.9,25.7,31.4,41.5,56.5,15,0,0.029092031,0.162166984,77049,0.260024882,0.295,20533,20.533,7.7049,4.346939947
219,MN-07,MN,"Peterson, Collin",(D),31,61.8,30.8,-0.5,44.1,53.9,9.8,0,0.010816572,0.158011333,52620,0.394098699,0.218,-3896,-3.896,5.262,2.790813249
